"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Meriwether","3930","US-13199","13","199","21020","388","132","18696.48","627.97","142.72","30","1445","25","16"
"Miller","1429","US-13201","13","201","5764","70","18","24791.81","312.28","121.44","7","542","12","10"
"Mitchell","3397","US-13205","13","205","22056","356","106","15401.7","480.59","40.81","9","2691","19","35"
"Monroe","4529","US-13207","13","207","27727","336","143","16334.26","515.74","72.13","20","2323","41","46"
"Montgomery","1569","US-13209","13","209","9224","82","51","17009.97","552.91","86.73","8","707","5","8"
"Morgan","3481","US-13211","13","211","19138","260","59","18188.94","308.29","130.63","25","1908","12","15"
"Murray","10363","US-13213","13","213","40261","464","182","25739.55","452.05","235.96","95","2860","21","21"
"Muscogee","36884","US-13215","13","215","191626","2952","787","19247.91","410.7","100.72","193","7557","115","204"
"Newton","22377","US-13217","13","217","112354","2811","434","19916.51","386.28","220.73","248","7343","57","47"
"Non-GA Resident/Unknown State","76186","US-.","","","0","4235","1053","0","0","0","751","20665","547","248"
"Oconee","8098","US-13219","13","219","41737","365","101","19402.45","241.99","138.97","58","2178","13","7"
"Oglethorpe","2748","US-13221","13","221","15240","270","58","18031.5","380.58","131.23","20","944","5","4"
"Paulding","31468","US-13223","13","223","172542","843","348","18237.88","201.69","153.59","265","13844","120","128"
"Peach","4467","US-13225","13","225","27375","365","114","16317.81","416.44","131.51","36","3215","34","47"
"Pickens","5954","US-13227","13","227","33530","596","143","17757.23","426.48","205.79","69","3880","41","30"
"Pierce","2957","US-13229","13","229","19545","323","109","15129.19","557.69","35.81","7","3333","33","62"
"Pike","3054","US-13231","13","231","18860","230","81","16193","429.48","79.53","15","3224","25","30"
"Polk","10552","US-13233","13","233","43482","764","177","24267.51","407.06","140.29","61","2943","33","62"
"Pulaski","1398","US-13235","13","235","10893","77","50","12833.93","459.01","82.62","9","1194","34","45"
"Putnam","4228","US-13237","13","237","21885","346","106","19319.17","484.35","178.2","39","908","6","6"
"Quitman","273","US-13239","13","239","2294","24","3","11900.61","130.78","43.59","1","254","2","3"
"Rabun","3111","US-13241","13","241","16986","297","85","18315.08","500.41","76.53","13","927","19","21"
"Randolph","924","US-13243","13","243","6754","125","42","13680.78","621.85","44.42","3","808","7","4"
"Richmond","42322","US-13245","13","245","202240","2854","773","20926.62","382.22","126.09","255","16786","183","217"
"Rockdale","19044","US-13247","13","247","94960","2533","311","20054.76","327.51","176.92","168","3878","31","23"
"Schley","584","US-13249","13","249","5275","40","11","11071.09","208.53","75.83","4","788","0","4"
"Screven","2036","US-13251","13","251","13900","133","41","14647.48","294.96","43.17","6","1046","34","64"
"Seminole","1857","US-13253","13","253","8140","140","31","22813.27","380.84","184.28","15","556","5","7"
"Spalding","11922","US-13255","13","255","69110","954","378","17250.76","546.95","89.71","62","6840","64","55"
"Stephens","6642","US-13257","13","257","26328","471","145","25227.89","550.74","296.26","78","455","32","16"
"Stewart","2606","US-13259","13","259","6129","156","33","42519.17","538.42","163.16","10","516","3","3"
"Sumter","4334","US-13261","13","261","29399","510","165","14742","561.24","78.23","23","4082","18","20"
"Talbot","1068","US-13263","13","263","6158","101","33","17343.29","535.89","162.39","10","271","1","9"
"Taliaferro","204","US-13265","13","265","1632","24","3","12500","183.82","0","0","123","1","1"
"Tattnall","3633","US-13267","13","267","25411","219","89","14296.96","350.24","15.74","4","2017","54","124"
"Taylor","1311","US-13269","13","269","7958","134","38","16473.99","477.51","87.96","7","1036","13","20"
"Telfair","1363","US-13271","13","271","15644","107","59","8712.61","377.14","19.18","3","2061","29","63"
"Terrell","1278","US-13273","13","273","8467","188","66","15093.89","779.5","23.62","2","1149","4","2"
"Thomas","9588","US-13275","13","275","44431","751","195","21579.53","438.88","40.51","18","3844","39","71"
"Tift","6777","US-13277","13","277","40830","659","173","16598.09","423.71","68.58","28","6628","64","139"
"Toombs","5919","US-13279","13","279","26983","331","178","21936.03","659.67","88.94","24","1947","35","40"
"Towns","2597","US-13281","13","281","12034","255","97","21580.52","806.05","166.2","20","371","26","13"
"Treutlen","1248","US-13283","13","283","6829","80","53","18275","776.1","131.79","9","592","16","14"
"Troup","14361","US-13285","13","285","70414","838","348","20395.09","494.22","146.28","103","3919","66","47"
"Turner","1235","US-13287","13","287","8076","139","49","15292.22","606.74","49.53","4","1830","16","42"
"Twiggs","1195","US-13289","13","289","8086","174","58","14778.63","717.29","136.04","11","597","15","11"
"Union","5299","US-13291","13","291","25335","536","160","20915.73","631.54","130.25","33","673","17","11"
"Unknown","9999","US-.","","","0","94","0","0","0","0","79","2647","1","12"
"Upson","4997","US-13293","13","293","26277","446","190","19016.63","723.07","186.47","49","4267","64","35"
"Walker","15252","US-13295","13","295","69610","633","222","21910.65","318.92","47.41","33","4273","60","84"
"Walton","18854","US-13297","13","297","95814","2127","417","19677.71","435.22","228.57","219","6766","52","50"
"Ware","6330","US-13299","13","299","35853","655","228","17655.43","635.93","27.89","10","4845","72","133"
"Warren","733","US-13301","13","301","5210","92","29","14069.1","556.62","76.78","4","537","7","7"
"Washington","3540","US-13303","13","303","20302","164","84","17436.71","413.75","83.74","17","1476","57","45"
"Wayne","6365","US-13305","13","305","29974","568","193","21235.07","643.89","106.76","32","2360","28","33"
"Webster","275","US-13307","13","307","2550","31","10","10784.31","392.16","0","0","254","0","3"
"Wheeler","985","US-13309","13","309","7909","51","35","12454.17","442.53","25.29","2","563","4","9"
"White","7545","US-13311","13","311","31758","560","155","23757.79","488.07","223.57","71","550","23","12"
"Whitfield","29990","US-13313","13","313","104672","1188","440","28651.41","420.36","149.99","157","8358","40","35"
"Wilcox","882","US-13315","13","315","8790","106","35","10034.13","398.18","22.75","2","1463","37","49"
"Wilkes","1185","US-13317","13","317","10014","165","38","11833.43","379.47","39.94","4","1409","17","33"
"Wilkinson","1854","US-13319","13","319","8919","177","56","20787.08","627.87","100.91","9","742","8","6"
"Worth","2562","US-13321","13","321","20142","323","97","12719.69","481.58","54.61","11","2814","29","49"
